eo_number,document_number,authority,source_quote,quote_trimmed
13867,2019-07645,Presidential authority over foreign affairs,cross‑border infrastructure,0
13868,2019-07656,Section 401 of the Clean Water Act (33 U.S.C. 1341),Section 401 of the Clean Water Act (33 U.S.C. 1341) provides that States and authorized tribes have a direct role in Federal permitting and licensing processes,0
13868,2019-07656,49 CFR part 193 (LNG safety regulations),"the Department of Transportation's safety regulations for Liquefied Natural Gas (LNG) facilities, found in 49 CFR part 193 (Part 193)",0
13868,2019-07656,Employee Retirement Income Security Act of 1974 (ERISA),Employee Retirement Income Security Act of 1974 (ERISA),0
13868,2019-07656,"TSC Industries, Inc. v. Northway, Inc., 426 U.S. 438 (1976)","the Supreme Court held in TSC Industries, Inc. v. Northway, Inc., 426 U.S. 438, 449 (1976)",0
13869,2019-08797,amends EO 13467,"Further Amendments to Executive Order 13467 of June 30, 2008, as amended.",0
13869,2019-08797,amends EO 12171,"Amendment to Executive Order 12171 of November 18, 1979, as amended.",0
13869,2019-08797,references EO 13488,"as defined in Executive Order 13488 of January 16, 2009, as amended",0
13870,2019-09750,Executive Order 13800,"In accordance with Executive Order 13800, the President will continue to hold heads of executive departments and agencies (agencies) accountable for managing cybersecurity risk to their enterprises",0
13870,2019-09750,Executive Order 10694,"recognize performance and achievements ... equivalent to citations issued pursuant to Executive Order 10694 of January 10, 1957",0
13871,2019-09877,"President (IEEPA, NEA, INA, Title 3)","All property and interests in property … are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in",0
13873,2019-10538,Secretary of Commerce,"the Secretary, in consultation with the heads of other agencies as appropriate,",1
13874,2019-12802,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13875,2019-13175,"Constitution and the laws of the United States of America, and the Federal Advisory Committee Act (5 U.S.C. App.)","By the authority vested in me as President by the Constitution and the laws of the United States of America, and consistent with the Federal Advisory Committee Act (FACA), as amended (5 U.S.C. App.)",0
13876,2019-13793,"Constitution, IEEPA, National Emergencies Act","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.)",0
13877,2019-13945,Executive Order 13813,"Pursuant to Executive Order 13813 of October 12, 2017 (Promoting Healthcare Choice and Competition Across the United States)",0
13878,2019-14016,President (extension authority),"The Council shall terminate on January 21, 2021, unless extended by the President.",0
13879,2019-15159,Presidential authority under the Constitution and U.S. law,"the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13882,2019-16383,Secretary of the Treasury (in consultation with the Secretary of State),"All property and interests in property ... are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in",0
13882,2019-16383,Secretary of State (determination) / Attorney General (recommendation),"the entry of such persons into the United States, as immigrants or nonimmigrants, is hereby suspended",0
13882,2019-16383,President,I hereby prohibit such donations as provided by section 1 of this order,0
13882,2019-16383,President,"Any transaction that evades or avoids, has the purpose of evading or avoiding, causes a violation of, or attempts to violate any of the prohibitions set forth in this order is prohibited",0
13885,2019-19367,establishment of the Committee,The National Quantum Initiative Advisory Committee (Committee) is hereby established.,0
13886,2019-19895,International Emergency Economic Powers Act,By the authority vested in me as President … including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
13887,2019-20804,Presidential authority under the Constitution and 3 U.S.C. §301,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 301 of title 3, United States Code, it is hereby ordered as follows:",0
13888,2019-21505,EO 13780 (Section 6(d)),"Section 6(d) of Executive Order 13780 of March 6, 2017 … directed the Secretary of State to determine the extent to which … State and local jurisdictions could have greater involvement",0
13889,2019-21630,President of the United States,"By the authority vested in me as President, by the Constitution and the laws of the United States of America, and consistent with the provisions of the Federal Advisory Committee Act, as amended (5 U.S.C. App.), it is hereby ordered as follows:",0
13890,2019-22073,Executive Order 13813,"The Medicare program shall adopt and implement those market‑based recommendations developed pursuant to Executive Order 13813 of October 12, 2017",0
13891,2019-22623,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13892,2019-22624,Justice and Law Enforcement,"Agencies shall act transparently and fairly with respect to all affected parties, as outlined in this order, when engaged in civil administrative enforcement or adjudication.",0
