eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
14036,2021-15069,not later than 120 days after the date of this order,2021-11-06,Secretary of Health and Human Services,"not later than 120 days after the date of this order, publish for notice and comment a proposed rule on over-the-counter hearing-aids",0
14036,2021-15069,not later than 180 days after the date of this order,2022-01-05,Secretary of Defense,"not later than 180 days after the date of this order, submit to the Chair of the White House Competition Council, a review of the state of competition within the defense industrial base",0
14036,2021-15069,not later than 180 days after the date of this order,2022-01-05,Secretary of the Treasury,"not later than 180 days after the date of this order, submit a report to the Chair of the White House Competition Council, on",1
14036,2021-15069,not later than 270 days after the date of this order,2022-04-05,Secretary of the Treasury,"not later than 270 days after the date of this order,",1
14036,2021-15069,not later than 300 days after the date of this order,2022-05-05,Secretary of Agriculture,"not later than 300 days after the date of this order, in consultation with the Chair of the FTC, submit a report to the Chair of the White House Competition Council, on the effect of retail concentration and retailers' practices",0
14036,2021-15069,not later than 1 year after the date of this order,2022-07-09,Secretary of Commerce,"not later than 1 year after the date of this order, in consultation with the Attorney General and the Chair of the Federal Trade Commission, conduct a study ... and submit a report to the Chair of the White House Competition Council",0
14040,2021-19578,September 11 2021,2021-09-11,Attorney General and agency heads,"(a) not later than September 11, 2021, of the Federal Bureau of Investigation (FBI) electronic communication dated April 4, 2016 …",0
14040,2021-19578,60 days after the date of this order,,Attorney General and agency heads,"(b) not later than 60 days after the date of this order, of: (i) all other records that previously were withheld as classified …",0
14040,2021-19578,120 days after the date of this order,,Attorney General and agency heads,"(c) not later than 120 days after the date of this order, of all interview reports, analytical documents, documents reporting investigative findings, or other substantive records …",0
14040,2021-19578,180 days after the date of this order,,Attorney General and agency heads,"(d) not later than 180 days after the date of this order, of all records from any separate FBI investigation other than the PENTTBOM investigation …",0
14041,2021-19579,Agency Plans must be submitted not later than February 1 of each year.,,,not later than February 1 of each year,0
14042,2021-19924,"Safer Federal Workforce Task Force to provide definitions, protocols, and exceptions",2021-09-24,Safer Federal Workforce Task Force,"By September 24, 2021, the Safer Federal Workforce Task Force",1
14042,2021-19924,Federal Acquisition Regulatory Council to amend FAR and begin implementation steps,2021-10-08,Federal Acquisition Regulatory Council,"shall, by October 8, 2021, take initial steps to implement appropriate policy direction to acquisition offices for use of the clause",0
14042,2021-19924,"Executive departments and agencies to ensure contracts entered on or after October 15, 2021 include the clause",2021-10-08,Executive departments and agencies,"By October 8, 2021, agencies shall take steps ... to ensure that contracts ... entered into on or after October 15, 2021 ... include the clause",0
14042,2021-19924,"Effective date for applying the safety clause to new contracts, solicitations, extensions, renewals, and options",2021-10-15,All agencies,"on or after: (i) October 15, 2021, consistent with the effective date for the action taken by the Federal Acquisition Regulatory Council",0
